"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.478910598E0,-2.137500048E0,1.932500076E1,-2.207500076E1,2.941649571E1
2.488910598E0,-2.150000095E0,1.937500000E1,-2.216250038E1,2.951592026E1
2.498910598E0,-2.162500143E0,1.941250038E1,-2.226250076E1,2.961655818E1
2.508910598E0,-2.187500000E0,1.945000076E1,-2.225000000E1,2.963359894E1
2.518910598E0,-2.225000143E0,1.943750000E1,-2.222500038E1,2.960941867E1
2.528910598E0,-2.275000095E0,1.945000076E1,-2.227499962E1,2.965895755E1
2.538910598E0,-2.287500143E0,1.946249962E1,-2.231250000E1,2.969628267E1
2.548910598E0,-2.275000095E0,1.946249962E1,-2.232500076E1,2.970471639E1
2.558910598E0,-2.287500143E0,1.942500114E1,-2.235000038E1,2.969993002E1
2.568910598E0,-2.299999952E0,1.936250114E1,-2.232500076E1,2.964122314E1
2.578910598E0,-2.312500000E0,1.935000038E1,-2.221249962E1,2.954937073E1
2.588910598E0,-2.337500095E0,1.935000038E1,-2.213750076E1,2.949500570E1
2.598910598E0,-2.375000000E0,1.938750076E1,-2.211250114E1,2.950387293E1
2.608910598E0,-2.350000143E0,1.941250038E1,-2.202499962E1,2.945281447E1
2.618910598E0,-2.325000048E0,1.941250038E1,-2.197500038E1,2.941345675E1
2.628910598E0,-2.312500000E0,1.938750076E1,-2.195000076E1,2.937729354E1
2.638910598E0,-2.312500000E0,1.938750076E1,-2.188750076E1,2.933062447E1
2.648910598E0,-2.287500143E0,1.941250038E1,-2.186250114E1,2.932655425E1
2.658910598E0,-2.262500048E0,1.941250038E1,-2.188750076E1,2.934325761E1
2.668910598E0,-2.225000143E0,1.938750076E1,-2.191250038E1,2.934252008E1
2.678910598E0,-2.212500095E0,1.936250114E1,-2.195000076E1,2.935309423E1
2.688910598E0,-2.225000143E0,1.935000038E1,-2.201250076E1,2.939257271E1
2.698910598E0,-2.200000048E0,1.938750076E1,-2.197500038E1,2.938734129E1
2.708910598E0,-2.174999952E0,1.945000076E1,-2.188750076E1,2.936146870E1
2.718910598E0,-2.150000095E0,1.943750000E1,-2.189999962E1,2.936066910E1
2.728910598E0,-2.174999952E0,1.942500114E1,-2.202499962E1,2.944761285E1
2.738910598E0,-2.212500095E0,1.946249962E1,-2.214999962E1,2.956867483E1
2.748910598E0,-2.237499952E0,1.948750114E1,-2.227499962E1,2.968071284E1
2.758910598E0,-2.212500095E0,1.951250076E1,-2.218750000E1,2.962968105E1
2.768910598E0,-2.200000048E0,1.953750038E1,-2.203750038E1,2.953312284E1
2.778910598E0,-2.250000000E0,1.948750114E1,-2.206250000E1,2.952251864E1
2.788910598E0,-2.312500000E0,1.946249962E1,-2.220000076E1,2.961379039E1
2.798910598E0,-2.337500095E0,1.948750114E1,-2.214999962E1,2.959474769E1
2.808910598E0,-2.337500095E0,1.950000000E1,-2.201250076E1,2.950023892E1
2.818910598E0,-2.337500095E0,1.943750000E1,-2.192500114E1,2.939363857E1
2.828910598E0,-2.362499952E0,1.939999962E1,-2.182500076E1,2.929628047E1
2.838910598E0,-2.325000048E0,1.937500000E1,-2.181250000E1,2.926741202E1
2.848910598E0,-2.262500048E0,1.933749962E1,-2.180000114E1,2.922837402E1
2.858910598E0,-2.212500095E0,1.933749962E1,-2.171249962E1,2.915933277E1
2.868910598E0,-2.150000095E0,1.931250000E1,-2.152499962E1,2.899863385E1
2.878910598E0,-2.125000000E0,1.931250000E1,-2.139999962E1,2.890412194E1
2.888910598E0,-2.125000000E0,1.935000038E1,-2.148750114E1,2.899397946E1
2.898910598E0,-2.125000000E0,1.939999962E1,-2.158749962E1,2.910147333E1
2.908910598E0,-2.087500095E0,1.946249962E1,-2.167500114E1,2.920534579E1
2.918910598E0,-2.125000000E0,1.948750114E1,-2.176250076E1,2.928966994E1
2.928910598E0,-2.174999952E0,1.951250076E1,-2.181250000E1,2.934712025E1
2.938910598E0,-2.174999952E0,1.955000114E1,-2.183749962E1,2.939063727E1
2.948910598E0,-2.187500000E0,1.960000038E1,-2.193750000E1,2.949913689E1
2.958910598E0,-2.174999952E0,1.956250000E1,-2.210000038E1,2.959445975E1
2.968910598E0,-2.137500048E0,1.951250076E1,-2.201250076E1,2.949333454E1
2.978910598E0,-2.100000143E0,1.948750114E1,-2.196249962E1,2.943678126E1
2.988910598E0,-2.100000143E0,1.947500038E1,-2.197500038E1,2.943783759E1
2.998910598E0,-2.075000048E0,1.946249962E1,-2.189999962E1,2.937183174E1
3.008910598E0,-2.025000095E0,1.945000076E1,-2.186250114E1,2.933210036E1
3.018910598E0,-2.037500143E0,1.946249962E1,-2.189999962E1,2.936920635E1
3.028910598E0,-2.100000143E0,1.945000076E1,-2.188750076E1,2.935600824E1
3.038910598E0,-2.200000048E0,1.951250076E1,-2.189999962E1,2.941407264E1
3.048910598E0,-2.237499952E0,1.957500076E1,-2.197500038E1,2.951419494E1
3.058910598E0,-2.275000095E0,1.958749962E1,-2.191250038E1,2.947886429E1
