"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.163761179E1,-8.999996185E-1,-7.200000000E1,-2.570000267E1
3.164759275E1,-1.000000000E0,-7.209999847E1,-2.580000114E1
3.165761873E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.166764471E1,-1.200000763E0,-7.219999695E1,-2.600000191E1
3.167758494E1,-1.200000763E0,-7.230000305E1,-2.589999962E1
3.168764982E1,-1.200000763E0,-7.230000305E1,-2.589999962E1
3.169759186E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.170760109E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.171757913E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.172758990E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.173758783E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.174759844E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.175874459E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.176758409E1,-1.399999619E0,-7.240000153E1,-2.610000038E1
3.177759025E1,-1.299999237E0,-7.240000153E1,-2.600000191E1
3.178759271E1,-1.299999237E0,-7.240000153E1,-2.600000191E1
3.179759517E1,-1.299999237E0,-7.240000153E1,-2.610000038E1
3.180760148E1,-1.299999237E0,-7.240000153E1,-2.610000038E1
3.181758763E1,-1.299999237E0,-7.230000305E1,-2.600000191E1
3.182759767E1,-1.200000763E0,-7.230000305E1,-2.610000038E1
3.183760806E1,-1.299999237E0,-7.230000305E1,-2.610000038E1
3.184761844E1,-1.299999237E0,-7.240000153E1,-2.610000038E1
3.185761413E1,-1.299999237E0,-7.240000153E1,-2.610000038E1
3.186764417E1,-1.299999237E0,-7.240000153E1,-2.610000038E1
3.187762825E1,-1.299999237E0,-7.240000153E1,-2.620000267E1
3.188760479E1,-1.299999237E0,-7.240000153E1,-2.620000267E1
3.189765652E1,-1.299999237E0,-7.240000153E1,-2.610000038E1
3.190765856E1,-1.299999237E0,-7.240000153E1,-2.600000191E1
3.191759748E1,-1.299999237E0,-7.240000153E1,-2.600000191E1
3.192763144E1,-1.200000763E0,-7.230000305E1,-2.589999962E1
3.193760121E1,-1.200000763E0,-7.240000153E1,-2.589999962E1
3.194764156E1,-1.100000381E0,-7.230000305E1,-2.589999962E1
3.195760759E1,-1.000000000E0,-7.230000305E1,-2.580000114E1
3.196763375E1,-1.000000000E0,-7.219999695E1,-2.570000267E1
3.197760413E1,-8.999996185E-1,-7.219999695E1,-2.570000267E1
3.198761044E1,-1.000000000E0,-7.219999695E1,-2.570000267E1
3.199760406E1,-1.000000000E0,-7.219999695E1,-2.560000038E1
3.200764152E1,-1.000000000E0,-7.219999695E1,-2.560000038E1
3.201765475E1,-1.000000000E0,-7.219999695E1,-2.570000267E1
3.202760417E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.203763367E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.204804190E1,-1.100000381E0,-7.230000305E1,-2.570000267E1
3.205766444E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.206762744E1,-1.000000000E0,-7.230000305E1,-2.580000114E1
3.206762744E1,-3.299999237E0,-5.769999695E1,-3.640000153E1
3.208508959E1,-3.100000381E0,-5.769999695E1,-3.720000076E1
3.209495279E1,-2.899999619E0,-5.760000610E1,-3.709999847E1
3.210491709E1,-3.000000000E0,-5.769999695E1,-3.720000076E1
3.211906259E1,-2.899999619E0,-5.769999695E1,-3.700000000E1
3.213505086E1,-3.200000763E0,-5.819999695E1,-3.720000076E1
3.214500990E1,-3.399999619E0,-5.830000305E1,-3.729999924E1
3.215487717E1,-3.500000000E0,-5.839999390E1,-3.740000153E1
3.216489557E1,-3.500000000E0,-5.850000000E1,-3.740000153E1
3.217491398E1,-3.600000381E0,-5.850000000E1,-3.740000153E1
3.218495486E1,-3.600000381E0,-5.860000610E1,-3.729999924E1
3.219555675E1,-3.600000381E0,-5.850000000E1,-3.729999924E1
3.220495675E1,-3.600000381E0,-5.860000610E1,-3.729999924E1
3.221498186E1,-3.600000381E0,-5.860000610E1,-3.729999924E1
3.222510967E1,-3.700000763E0,-5.869999695E1,-3.729999924E1
3.223505102E1,-3.700000763E0,-5.869999695E1,-3.740000153E1
3.224485640E1,-3.700000763E0,-5.869999695E1,-3.729999924E1
3.225488313E1,-3.799999237E0,-5.880000305E1,-3.729999924E1
3.226501294E1,-3.799999237E0,-5.880000305E1,-3.729999924E1
3.227492536E1,-3.799999237E0,-5.889999390E1,-3.729999924E1
3.228487921E1,-3.799999237E0,-5.889999390E1,-3.729999924E1
3.229613448E1,-3.799999237E0,-5.880000305E1,-3.729999924E1
3.230497759E1,-3.799999237E0,-5.889999390E1,-3.740000153E1
3.231498867E1,-3.799999237E0,-5.880000305E1,-3.729999924E1
3.232502521E1,-3.799999237E0,-5.889999390E1,-3.729999924E1
3.233520825E1,-3.799999237E0,-5.889999390E1,-3.729999924E1
3.234487606E1,-3.799999237E0,-5.889999390E1,-3.729999924E1
3.235489644E1,-3.799999237E0,-5.889999390E1,-3.729999924E1
3.236857202E1,-3.799999237E0,-5.900000000E1,-3.729999924E1
3.238484379E1,-3.899999619E0,-5.910000610E1,-3.729999924E1
3.239505029E1,-3.899999619E0,-5.919999695E1,-3.729999924E1
3.240486102E1,-3.899999619E0,-5.919999695E1,-3.729999924E1
