"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.665444840E-1,2.171486616E-1,-9.332008660E-2,9.917651176E0,9.920467078E0
4.690441190E-1,1.740778536E-1,-1.555334777E-1,9.951150894E0,9.953888581E0
4.715437030E-1,2.075773627E-1,-1.268195957E-1,9.912865639E0,9.915849774E0
4.740431820E-1,1.836491376E-1,-1.316052526E-1,9.898509026E0,9.901087207E0
4.765389630E-1,1.645065546E-1,-1.459621787E-1,9.927223206E0,9.929659004E0
4.790384420E-1,2.985046208E-1,-1.698904037E-1,9.663414001E0,9.669515909E0
4.815379210E-1,2.267199457E-1,-8.853443712E-2,9.835697174E0,9.838708207E0
4.840374000E-1,2.410768867E-1,-1.651047617E-1,1.019043350E1,1.019462175E1
4.865368800E-1,1.740778536E-1,-1.698904037E-1,1.016650486E1,1.016941429E1
4.890364110E-1,9.272187948E-2,-1.411765367E-1,9.994221687E0,9.995648818E0
4.915358900E-1,8.793623000E-2,-1.459621787E-1,9.773484230E0,9.774969654E0
4.940858900E-1,9.272187948E-2,-1.316052526E-1,9.744770050E0,9.746099764E0
4.966358900E-1,1.549352705E-1,-1.555334777E-1,9.835697174E0,9.838146904E0
4.991382860E-1,2.171486616E-1,-1.268195957E-1,9.874580383E0,9.877781861E0
5.016600050E-1,1.788634956E-1,-1.555334777E-1,9.984650612E0,9.987463675E0
5.041816710E-1,1.884347796E-1,-1.507478207E-1,1.001336479E1,1.001627211E1
5.066840670E-1,2.171486616E-1,-1.316052526E-1,9.941579819E0,9.944821908E0
5.091864630E-1,1.692921966E-1,-1.603191197E-1,9.874580383E0,9.877332626E0
5.116888070E-1,1.788634956E-1,-1.363908947E-1,9.884152412E0,9.886711462E0
5.141912030E-1,1.597209126E-1,-1.746760458E-1,9.903294563E0,9.906122637E0
5.166935980E-1,1.932204217E-1,-1.555334777E-1,9.979865074E0,9.982947044E0
5.191959420E-1,1.549352705E-1,-1.363908947E-1,9.912865639E0,9.915014503E0
5.216459420E-1,1.262213886E-1,-1.363908947E-1,9.932008743E0,9.933747127E0
5.240959420E-1,1.357926875E-1,-1.890329868E-1,9.884152412E0,9.886892436E0
5.265596400E-1,1.692921966E-1,-1.220339537E-1,9.874580383E0,9.876785402E0
5.290233900E-1,1.549352705E-1,-1.316052526E-1,9.936794281E0,9.938873450E0
5.314870880E-1,1.884347796E-1,-1.411765367E-1,9.932008743E0,9.934799251E0
5.339854730E-1,1.740778536E-1,-1.076770201E-1,9.932008743E0,9.934117732E0
5.364838070E-1,1.884347796E-1,-1.363908947E-1,9.951150894E0,9.953869311E0
5.389824530E-1,1.453639716E-1,-1.507478207E-1,9.951150894E0,9.953354194E0
5.414854730E-1,1.932204217E-1,-1.698904037E-1,9.936794281E0,9.940124620E0
5.439884940E-1,2.123630047E-1,-1.411765367E-1,9.941579819E0,9.944849831E0
5.464871400E-1,1.357926875E-1,-1.268195957E-1,9.908080101E0,9.909822105E0
5.489857340E-1,1.788634956E-1,-1.411765367E-1,9.893723488E0,9.896347176E0
5.514842750E-1,1.357926875E-1,-1.172483116E-1,9.898509026E0,9.900134734E0
5.539829210E-1,1.501496136E-1,-1.363908947E-1,9.869794846E0,9.871879136E0
5.564815150E-1,1.214357466E-1,-1.555334777E-1,9.917651176E0,9.919614013E0
5.589804730E-1,1.740778536E-1,-1.555334777E-1,9.893723488E0,9.896477061E0
5.614852650E-1,1.357926875E-1,-1.507478207E-1,9.884152412E0,9.886234545E0
5.639900050E-1,1.740778536E-1,-1.794617027E-1,9.932008743E0,9.935155121E0
5.664889630E-1,1.980060786E-1,-1.459621787E-1,9.869794846E0,9.872859852E0
5.689879210E-1,1.549352705E-1,-1.603191197E-1,9.859625816E0,9.862146237E0
5.714868280E-1,1.597209126E-1,-1.842473447E-1,9.912865639E0,9.915864210E0
5.739857860E-1,1.501496136E-1,-1.363908947E-1,9.859625816E0,9.861712256E0
5.764847440E-1,1.214357466E-1,-1.555334777E-1,9.898509026E0,9.900475657E0
5.789842750E-1,1.645065546E-1,-1.555334777E-1,9.898509026E0,9.901097616E0
5.814937030E-1,1.836491376E-1,-1.555334777E-1,9.864411354E0,9.867346605E0
5.840031300E-1,1.549352705E-1,-1.028913707E-1,9.840482712E0,9.842240170E0
