"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.459102739E0,-2.460042238E0,6.396110058E0,6.683413982E0
3.469188535E0,-2.464830637E0,6.410475254E0,6.683413982E0
3.479168036E0,-2.469619036E0,6.405686855E0,6.697779179E0
3.489253808E0,-2.483984232E0,6.415263653E0,6.697779179E0
3.499279077E0,-2.469619036E0,6.415263653E0,6.688202381E0
3.509321158E0,-2.464830637E0,6.391321659E0,6.683413982E0
3.519337458E0,-2.450465441E0,6.415263653E0,6.716932774E0
3.529313604E0,-2.460042238E0,6.410475254E0,6.712144375E0
3.539369597E0,-2.464830637E0,6.381744862E0,6.697779179E0
3.549431490E0,-2.464830637E0,6.410475254E0,6.697779179E0
3.559379194E0,-2.464830637E0,6.405686855E0,6.731297970E0
3.569450473E0,-2.483984232E0,6.396110058E0,6.692990780E0
3.579444849E0,-2.464830637E0,6.405686855E0,6.678625584E0
3.589502181E0,-2.450465441E0,6.420052052E0,6.692990780E0
3.599492924E0,-2.460042238E0,6.410475254E0,6.702567577E0
3.609497869E0,-2.469619036E0,6.415263653E0,6.712144375E0
3.619537299E0,-2.493561029E0,6.391321659E0,6.702567577E0
3.629605227E0,-2.469619036E0,6.391321659E0,6.683413982E0
3.639598661E0,-2.479195833E0,6.396110058E0,6.692990780E0
3.649660994E0,-2.479195833E0,6.405686855E0,6.697779179E0
3.659644182E0,-2.479195833E0,6.405686855E0,6.707355976E0
3.669651150E0,-2.464830637E0,6.405686855E0,6.673837185E0
3.679791150E0,-2.474407434E0,6.396110058E0,6.678625584E0
3.689756633E0,-2.469619036E0,6.381744862E0,6.702567577E0
3.699747081E0,-2.469619036E0,6.396110058E0,6.692990780E0
3.709774393E0,-2.469619036E0,6.410475254E0,6.683413982E0
3.719842651E0,-2.460042238E0,6.424840450E0,6.716932774E0
3.729864481E0,-2.469619036E0,6.400898457E0,6.707355976E0
3.739966126E0,-2.483984232E0,6.410475254E0,6.692990780E0
3.749967373E0,-2.483984232E0,6.405686855E0,6.688202381E0
3.760010531E0,-2.469619036E0,6.391321659E0,6.692990780E0
3.769962187E0,-2.464830637E0,6.415263653E0,6.702567577E0
3.779995255E0,-2.464830637E0,6.410475254E0,6.712144375E0
3.789960810E0,-2.488772631E0,6.429628849E0,6.692990780E0
3.800032528E0,-2.474407434E0,6.400898457E0,6.683413982E0
3.810057987E0,-2.474407434E0,6.415263653E0,6.712144375E0
3.820159257E0,-2.464830637E0,6.420052052E0,6.678625584E0
3.830127796E0,-2.469619036E0,6.391321659E0,6.673837185E0
3.840202356E0,-2.460042238E0,6.424840450E0,6.683413982E0
3.850234519E0,-2.464830637E0,6.400898457E0,6.688202381E0
3.860157135E0,-2.474407434E0,6.420052052E0,6.692990780E0
3.870221472E0,-2.464830637E0,6.381744862E0,6.697779179E0
3.880197224E0,-2.479195833E0,6.424840450E0,6.692990780E0
3.890263546E0,-2.469619036E0,6.391321659E0,6.688202381E0
3.900244823E0,-2.455253839E0,6.420052052E0,6.688202381E0
3.910372505E0,-2.445677042E0,6.391321659E0,6.688202381E0
3.920340802E0,-2.479195833E0,6.405686855E0,6.688202381E0
3.930357489E0,-2.474407434E0,6.396110058E0,6.688202381E0
3.940449378E0,-2.450465441E0,6.405686855E0,6.673837185E0
3.950369643E0,-2.479195833E0,6.405686855E0,6.692990780E0
3.960497388E0,-2.474407434E0,6.400898457E0,6.688202381E0
3.970413332E0,-2.483984232E0,6.405686855E0,6.673837185E0
3.980488023E0,-2.469619036E0,6.396110058E0,6.683413982E0
3.990508585E0,-2.469619036E0,6.400898457E0,6.673837185E0
4.000599879E0,-2.469619036E0,6.376956463E0,6.673837185E0
4.010558734E0,-2.469619036E0,6.424840450E0,6.669048786E0
4.010558734E0,-2.455253839E0,6.429628849E0,6.692990780E0
4.020409775E0,-2.455253839E0,6.396110058E0,6.697779179E0
4.030486718E0,-2.445677042E0,6.434417248E0,6.678625584E0
4.040578811E0,-2.431311846E0,6.424840450E0,6.678625584E0
4.050649265E0,-2.431311846E0,6.396110058E0,6.669048786E0
4.060587383E0,-2.450465441E0,6.400898457E0,6.702567577E0
4.070628994E0,-2.431311846E0,6.396110058E0,6.683413982E0
4.080552738E0,-2.450465441E0,6.420052052E0,6.649895191E0
4.090669508E0,-2.450465441E0,6.410475254E0,6.659471989E0
4.100689296E0,-2.445677042E0,6.400898457E0,6.678625584E0
4.110756006E0,-2.464830637E0,6.429628849E0,6.688202381E0
4.120746042E0,-2.460042238E0,6.420052052E0,6.649895191E0
4.130815578E0,-2.469619036E0,6.429628849E0,6.683413982E0
4.140853127E0,-2.460042238E0,6.400898457E0,6.683413982E0
4.150746140E0,-2.450465441E0,6.410475254E0,6.659471989E0
4.160771491E0,-2.445677042E0,6.415263653E0,6.678625584E0
4.170811204E0,-2.445677042E0,6.415263653E0,6.673837185E0
4.180854132E0,-2.464830637E0,6.420052052E0,6.702567577E0
4.190914846E0,-2.455253839E0,6.405686855E0,6.673837185E0
4.200937726E0,-2.440888643E0,6.405686855E0,6.683413982E0
4.211019930E0,-2.431311846E0,6.405686855E0,6.683413982E0
4.220961061E0,-2.440888643E0,6.391321659E0,6.673837185E0
4.230954965E0,-2.440888643E0,6.405686855E0,6.659471989E0
4.240992411E0,-2.431311846E0,6.396110058E0,6.669048786E0
4.251033289E0,-2.440888643E0,6.415263653E0,6.678625584E0
4.261074129E0,-2.440888643E0,6.386533260E0,6.702567577E0
4.271169575E0,-2.436100245E0,6.415263653E0,6.678625584E0
4.281184900E0,-2.440888643E0,6.424840450E0,6.673837185E0
4.291250227E0,-2.455253839E0,6.396110058E0,6.673837185E0
4.301188475E0,-2.464830637E0,6.396110058E0,6.669048786E0
4.311213053E0,-2.416946650E0,6.405686855E0,6.688202381E0
4.321342284E0,-2.450465441E0,6.410475254E0,6.678625584E0
4.331302031E0,-2.445677042E0,6.429628849E0,6.669048786E0
4.341300762E0,-2.450465441E0,6.439205647E0,6.659471989E0
4.351370865E0,-2.445677042E0,6.420052052E0,6.697779179E0
4.361447660E0,-2.440888643E0,6.429628849E0,6.630741596E0
4.371477257E0,-2.440888643E0,6.424840450E0,6.678625584E0
4.381415966E0,-2.450465441E0,6.410475254E0,6.702567577E0
4.391546399E0,-2.436100245E0,6.420052052E0,6.707355976E0
4.401493301E0,-2.455253839E0,6.415263653E0,6.707355976E0
4.411582258E0,-2.421735048E0,6.410475254E0,6.673837185E0
4.421527539E0,-2.421735048E0,6.381744862E0,6.664260387E0
4.431656046E0,-2.431311846E0,6.420052052E0,6.673837185E0
4.441606649E0,-2.455253839E0,6.415263653E0,6.669048786E0
4.451639210E0,-2.440888643E0,6.420052052E0,6.649895191E0
4.461635338E0,-2.421735048E0,6.424840450E0,6.688202381E0
4.471674400E0,-2.455253839E0,6.396110058E0,6.669048786E0
4.481728455E0,-2.450465441E0,6.439205647E0,6.664260387E0
4.491807476E0,-2.455253839E0,6.410475254E0,6.669048786E0
4.501849584E0,-2.460042238E0,6.396110058E0,6.669048786E0
4.511828011E0,-2.460042238E0,6.415263653E0,6.688202381E0
4.521892602E0,-2.440888643E0,6.410475254E0,6.669048786E0
4.531924152E0,-2.455253839E0,6.420052052E0,6.683413982E0
4.541871350E0,-2.445677042E0,6.410475254E0,6.688202381E0
4.551973105E0,-2.455253839E0,6.420052052E0,6.673837185E0
4.561956856E0,-2.460042238E0,6.424840450E0,6.683413982E0
4.571940650E0,-2.450465441E0,6.405686855E0,6.688202381E0
4.581957885E0,-2.445677042E0,6.424840450E0,6.673837185E0
4.592021181E0,-2.445677042E0,6.424840450E0,6.697779179E0
4.602047193E0,-2.455253839E0,6.424840450E0,6.683413982E0
4.612131060E0,-2.455253839E0,6.400898457E0,6.688202381E0
4.622129317E0,-2.455253839E0,6.400898457E0,6.645106792E0
